id,author,comment_text,created_at,upvotes
1,km_reader,"The pacing in the middle chapters drags, but the ending redeems the whole book.",2026-05-02,14
2,sofia_v,"Honestly the best library branch in the city, quiet and the staff remember your name.",2026-05-03,32
3,brownstone88,"Parking situation got worse after the redesign, twenty minutes circling yesterday.",2026-05-03,7
4,elena,"The volunteer program changed my retirement, I feel useful again three days a week.",2026-05-04,41
5,marcusJ,"Terrible communication from the landlord, three weeks without a working elevator.",2026-05-05,19
6,quiethiker,Sunrise from the east ridge trail is worth every step of the climb.,2026-05-06,55
7,pat_the_cook,New farmers market vendor sells the best sourdough I have had in years.,2026-05-07,23
8,rlopez,The clinic doubled its wait times but the nurses are still wonderful people.,2026-05-08,11
9,greenthumb,"My tomatoes failed again this year, the soil in this neighborhood is just clay.",2026-05-09,5
10,nightowl_dev,Working remotely from the cafe on Fifth has made my weeks so much better.,2026-05-10,28
11,amina,"The community garden waitlist is two years long now, which says something lovely about us.",2026-05-11,37
12,tomk,Bike lanes on the bridge finally opened and my commute dropped by fifteen minutes.,2026-05-12,46
13,harriet_b,The museum's free Thursday evenings are the best kept secret in town.,2026-05-13,30
14,dgupta,"Street noise has gotten unbearable since the venue opened, considering moving after eight years.",2026-05-14,16
