id,text
1,I met my fiancée at a café near the university and we talked until closing.
2,Updating my résumé after ten years at one company felt strangely emotional.
3,The naïve optimism of my twenties has mellowed into something more durable.
4,We celebrated the sale with crème brûlée at the bistro around the corner.
5,My protégé at work just got promoted and I could not be prouder.
6,The exposé in the local paper finally forced the council to act.
7,Our séance-themed escape room birthday party was ridiculous and absolutely perfect.
8,He runs a small atelier restoring antique furniture with his père.
9,A détour through the mountains added three hours and the best views of the trip.
10,The café's terrace overlooks the plaza where we watched the parade every année.
