id,text
1,"Je suis très satisfait de ma vie en ce moment, même si tout n'est pas parfait."
2,Ma famille compte plus que tout pour moi et je ferais n'importe quoi pour elle.
3,Le travail devient de plus en plus difficile mais mes collègues me soutiennent beaucoup.
4,J'ai passé le week-end à la campagne avec mes amis et c'était merveilleux.
5,"Il faut toujours aider les personnes qui souffrent, c'est notre devoir moral."
6,La justice est la valeur la plus importante dans une société moderne.
7,Je me sens un peu seul depuis que j'ai déménagé dans cette nouvelle ville.
8,Les traditions de notre région se perdent et cela me rend vraiment triste.
9,Mon médecin m'a conseillé de faire plus d'exercice et de mieux dormir.
10,Nous devons respecter nos aînés et écouter leurs conseils avec attention.
11,"Chaque personne mérite les mêmes chances, peu importe son origine sociale."
12,J'ai enfin trouvé un équilibre entre ma vie professionnelle et ma vie personnelle.
13,La lecture du soir est devenue mon moment préféré de toute la journée.
14,Mes enfants grandissent si vite que chaque moment passé ensemble est précieux.
15,Je trouve que la solidarité entre voisins a beaucoup diminué ces dernières années.
16,"Après des années difficiles, je commence enfin à me sentir en paix."
17,Le respect des règles communes rend la vie en société possible et agréable.
18,J'économise depuis deux ans pour réaliser mon rêve de voyager en Asie.
19,La musique m'aide énormément quand je traverse des périodes de stress.
20,Il est important de dire la vérité même quand cela nous coûte cher.
21,Mon jardin me procure une joie simple que je ne trouve nulle part ailleurs.
22,Les jeunes d'aujourd'hui travaillent autant que nous mais dans des conditions différentes.
23,Je remercie chaque jour la vie pour la bonne santé de mes proches.
24,Perdre mon emploi m'a obligé à repenser complètement toutes mes priorités.
