id,text
1,Seeing an injured animal on the road makes me pull over to help every single time.
2,I cannot walk past a crying child without stopping to make sure they are okay.
3,Our society should be judged by how gently it treats its weakest members.
4,I donate blood regularly because someone out there is suffering and I can help.
5,Hurting someone who cannot defend themselves is the worst thing a person can do.
6,I chose nursing because easing another person's pain feels like my calling.
7,Everyone deserves the same opportunities no matter what family they were born into.
8,It bothers me deeply when some groups are treated as second class citizens.
9,A fair society makes sure nobody is left too far behind the rest.
10,I support policies that close the gap between the richest and the poorest.
11,"All voices in the meeting should get equal time, not just the loudest ones."
12,No one is above the law and no one should be beneath its protection.
13,People who work harder deserve to earn more than those who slack off.
14,Cheaters should be punished in proportion to the harm they caused.
15,Bonuses should go to the employees who actually delivered the results.
16,It is wrong when someone takes credit for work they did not do.
17,Students who study hardest have earned the top grades they receive.
18,Rewards mean nothing if they are handed out equally regardless of effort.
19,I would defend my hometown team even in a losing season.
20,Betraying your own family is something I could never forgive.
21,When my country is criticized abroad I feel personally insulted.
22,I stuck with my old company through the hard years out of loyalty.
23,True friends stand by each other even when it costs them something.
24,Leaving your group when times get tough is a form of betrayal.
25,Children should be taught to respect their teachers and elders.
26,A team works best when everyone respects the chain of command.
27,I always address judges and officers with the respect their position deserves.
28,Traditions passed down by our elders hold wisdom we should not discard.
29,Soldiers who disobey lawful orders put everyone around them in danger.
30,"Questioning authority has its place, but constant defiance destroys institutions."
31,Some things are sacred and should never be treated as commodities.
32,I keep my body clean and healthy because it feels like a temple.
33,Certain acts are degrading even if nobody is directly harmed by them.
34,"There is something deeply wrong about desecrating a grave, even an unmarked one."
35,I fast twice a year to cleanse both my body and my mind.
36,Crude jokes about sacred rituals make me genuinely uncomfortable.
37,The bus to the office takes about forty minutes on weekday mornings.
38,I usually buy groceries on Sunday because the store is less crowded.
39,The printer on the third floor has been out of toner since Tuesday.
40,My apartment gets good afternoon light in the summer months.
41,The weather forecast says light rain for most of the weekend.
42,I switched my phone plan last month to one with more data.
